taxi.data_prog_hourofdayofweek.zone_id,taxi.data_prog_hourofdayofweek.year,taxi.data_prog_hourofdayofweek.month,taxi.data_prog_hourofdayofweek.dayofweek,taxi.data_prog_hourofdayofweek.hourofday,taxi.data_prog_hourofdayofweek.count
1,2010,2,1,7,1029
1,2010,2,4,8,758
1,2010,2,7,9,372
1,2010,3,3,18,1471
1,2010,3,6,19,1002
1,2010,5,2,7,1233
1,2010,5,5,8,970
1,2010,6,1,17,2111
1,2010,6,4,18,1503
1,2010,6,7,19,1807
1,2010,8,3,7,1132
1,2010,8,6,8,667
1,2010,9,2,17,1496
1,2010,9,5,18,1378
1,2010,11,1,6,1844
1,2010,11,4,7,987
1,2010,11,7,8,741
1,2010,12,3,17,1832
1,2010,12,6,18,1075
1,2011,1,2,4,55
1,2011,1,5,5,539
1,2011,2,1,14,1419
1,2011,2,4,15,1794
1,2011,2,7,16,1765
1,2011,4,3,4,98
1,2011,4,6,5,648
1,2011,5,2,14,1989
1,2011,5,5,15,1717
1,2011,7,1,3,236
1,2011,7,4,4,78
1,2011,7,7,5,577
1,2011,8,3,14,2120
1,2011,8,6,15,1225
1,2011,10,2,3,41
1,2011,10,5,4,72
1,2011,11,1,13,1436
1,2011,11,4,14,1567
1,2011,11,7,15,2216
1,2012,1,2,11,854
1,2012,1,5,12,763
1,2012,2,1,21,1918
1,2012,2,4,22,1260
1,2012,2,7,23,1418
1,2012,3,1,0,1726
1,2012,3,4,1,916
1,2012,3,7,2,98
1,2012,4,3,11,866
1,2012,4,6,12,904
1,2012,5,2,21,2074
1,2012,5,5,22,1729
1,2012,6,2,0,1304
1,2012,6,5,1,748
1,2012,7,1,10,1214
1,2012,7,4,11,802
1,2012,7,7,12,1395
1,2012,8,3,21,2437
1,2012,8,6,22,1551
1,2012,9,3,0,1497
1,2012,9,6,1,613
1,2012,10,2,10,813
1,2012,10,5,11,1050
1,2012,11,1,20,2202
1,2012,11,4,21,2284
1,2012,11,7,22,2436
1,2012,12,4,0,1251
1,2012,12,7,1,395
1,2013,1,2,18,2193
1,2013,1,5,19,1743
1,2013,3,1,7,1971
1,2013,3,4,8,1117
1,2013,3,7,9,800
1,2013,4,3,18,1807
1,2013,4,6,19,1487
1,2013,6,2,7,1475
1,2013,6,5,8,1316
1,2013,7,1,17,2807
1,2013,7,4,18,2009
1,2013,7,7,19,2004
1,2013,9,3,7,1462
1,2013,9,6,8,1147
1,2013,10,2,17,2854
1,2013,10,5,18,2294
1,2013,12,1,6,1518
1,2013,12,4,7,1453
1,2013,12,7,8,1222
1,2010,2,1,8,835
1,2010,2,4,9,418
1,2010,2,7,10,521
1,2010,3,3,19,1408
1,2010,3,6,20,1047
1,2010,5,2,8,972
1,2010,5,5,9,669
1,2010,6,1,18,1600
1,2010,6,4,19,1408
1,2010,6,7,20,2017
1,2010,8,3,8,815
1,2010,8,6,9,549
1,2010,9,2,18,1448
1,2010,9,5,19,1340
1,2010,11,1,7,1913
1,2010,11,4,8,720
1,2010,11,7,9,513
1,2010,12,3,18,1860
1,2010,12,6,19,1222
1,2011,1,2,5,690
1,2011,1,5,6,1150
1,2011,2,1,15,1947
1,2011,2,4,16,1609
1,2011,2,7,17,1829
1,2011,4,3,5,595
1,2011,4,6,6,994
1,2011,5,2,15,2155
1,2011,5,5,16,1834
1,2011,7,1,4,154
1,2011,7,4,5,605
1,2011,7,7,6,1152
1,2011,8,3,15,2595
1,2011,8,6,16,1370
1,2011,10,2,4,34
1,2011,10,5,5,682
1,2011,11,1,14,1985
1,2011,11,4,15,2037
1,2011,11,7,16,2202
1,2012,1,2,12,869
1,2012,1,5,13,1079
1,2012,2,1,22,1666
1,2012,2,4,23,1181
1,2012,3,1,1,1045
1,2012,3,4,2,130
1,2012,3,7,3,82
1,2012,4,3,12,1022
1,2012,4,6,13,1211
1,2012,5,2,22,2207
1,2012,5,5,23,1203
1,2012,6,2,1,988
1,2012,6,5,2,259
1,2012,7,1,11,1555
1,2012,7,4,12,985
1,2012,7,7,13,2198
1,2012,8,3,22,2473
1,2012,8,6,23,1248
1,2012,9,3,1,1134
1,2012,9,6,2,201
1,2012,10,2,11,1000
1,2012,10,5,12,932
1,2012,11,1,21,2018
1,2012,11,4,22,2137
1,2012,11,7,23,1901
1,2012,12,1,0,1895
1,2012,12,4,1,417
1,2012,12,7,2,143
1,2013,1,2,19,2372
1,2013,1,5,20,1972
1,2013,3,1,8,1674
1,2013,3,4,9,719
1,2013,3,7,10,835
1,2013,4,3,19,1518
1,2013,4,6,20,1763
1,2013,6,2,8,1306
1,2013,6,5,9,676
1,2013,7,1,18,2723
1,2013,7,4,19,1565
1,2013,7,7,20,2349
1,2013,9,3,8,1091
1,2013,9,6,9,510
1,2013,10,2,18,2516
1,2013,10,5,19,2208
1,2013,12,1,7,2244
1,2013,12,4,8,993
1,2013,12,7,9,714
1,2010,1,5,0,877
1,2010,2,1,9,512
1,2010,2,4,10,511
1,2010,2,7,11,489
1,2010,3,3,20,1432
1,2010,3,6,21,973
1,2010,4,6,0,840
1,2010,5,2,9,625
1,2010,5,5,10,560
1,2010,6,1,19,1660
1,2010,6,4,20,1721
1,2010,6,7,21,2084
1,2010,7,7,0,810
1,2010,8,3,9,698
1,2010,8,6,10,665
1,2010,9,2,19,1663
1,2010,9,5,20,1489
1,2010,11,1,8,1489
1,2010,11,4,9,418
1,2010,11,7,10,735
1,2010,12,3,19,1764
1,2010,12,6,20,1298
1,2011,1,2,6,1397
1,2011,1,5,7,1136
1,2011,2,1,16,1973
1,2011,2,4,17,1586
1,2011,2,7,18,1627
1,2011,4,3,6,1070
1,2011,4,6,7,1141
1,2011,5,2,16,2322
1,2011,5,5,17,1954
1,2011,7,1,5,691
1,2011,7,4,6,1081
1,2011,7,7,7,1259
1,2011,8,3,16,2420
1,2011,8,6,17,1273
1,2011,10,2,5,729
1,2011,10,5,6,1235
1,2011,11,1,15,2388
1,2011,11,4,16,1969
1,2011,11,7,17,2278
1,2012,1,2,13,1230
1,2012,1,5,14,1466
1,2012,2,1,23,1406
1,2012,3,1,2,233
1,2012,3,4,3,78
1,2012,3,7,4,49
1,2012,4,3,13,1460
1,2012,4,6,14,1398
1,2012,5,2,23,1643
1,2012,6,2,2,307
1,2012,6,5,3,89
1,2012,7,1,12,1399
1,2012,7,4,13,1548
1,2012,7,7,14,2412
1,2012,8,3,23,2148
1,2012,9,3,2,186
1,2012,9,6,3,82
1,2012,10,2,12,733
1,2012,10,5,13,1805
1,2012,11,1,22,1799
1,2012,11,4,23,1744
1,2012,12,1,1,599
1,2012,12,4,2,235
1,2012,12,7,3,94
1,2013,1,2,20,2523
1,2013,1,5,21,1699
1,2013,2,5,0,1310
1,2013,3,1,9,993
1,2013,3,4,10,739
1,2013,3,7,11,899
1,2013,4,3,20,1658
1,2013,4,6,21,1486
1,2013,5,6,0,904
1,2013,6,2,9,759
1,2013,6,5,10,841
1,2013,7,1,19,2263
1,2013,7,4,20,1835
1,2013,7,7,21,2522
1,2013,8,7,0,724
1,2013,9,3,9,531
1,2013,9,6,10,641
1,2013,10,2,19,2393
1,2013,10,5,20,2201
1,2013,12,1,8,1867
